Gene Name,S1_MS1 precursor area,S10_MS1 precursor area,S11_MS1 precursor area,S12_MS1 precursor area,S13_MS1 precursor area,S14_MS1 precursor area,S15_MS1 precursor area,S16_MS1 precursor area,S17_MS1 precursor area,S18_MS1 precursor area,S19_MS1 precursor area,S2_MS1 precursor area,S20_MS1 precursor area,S21_MS1 precursor area,S22_MS1 precursor area,S23_MS1 precursor area,S25_MS1 precursor area,S26_MS1 precursor area,S27_MS1 precursor area,S28_MS1 precursor area,S29_MS1 precursor area,S3_MS1 precursor area,S30_MS1 precursor area,S31_MS1 precursor area,S32_MS1 precursor area,S33_MS1 precursor area,S34_MS1 precursor area,S35_MS1 precursor area,S36_MS1 precursor area,S37_MS1 precursor area,S38_MS1 precursor area,S4_MS1 precursor area,S5_MS1 precursor area,S6_MS1 precursor area,S7_MS1 precursor area,S8_MS1 precursor area,S9_MS1 precursor area
UBQLN4,938199928.6,1226847560,1083090848,1146240236,1008875180,1335244931,638405090.9,403983426.9,1172695600,826049462.7,1229277611,1045667394,1966318010,1037616280,1229345727,2927801614,721467480.2,817002875.6,1895122147,1770763490,1518677645,1187982018,1378936303,996050057.1,1098543257,760868005.9,1157739084,1062450411,961224465.3,1043864598,988077969.3,1087207884,386805568.2,1240348902,1351404623,1277822830,1379214409
AFG3L2,2368175985,1900567200,5953010003,2137293449,2005160492,8190684546,2324460146,1513595221,2181596519,2304414540,8377666508,2000834690,801499296,2345376951,2006399891,2376237389,2374185032,1898639879,3188025816,2915523506,1901334439,2346801675,1772526392,2059295051,2693116633,1744789988,2686641284,2097745040,2237709234,1916564448,2027195699,2696728434,1277873916,2209698542,2501627983,3566227863,2236485265
HOOK3,574319102.9,568049831.5,450416482.1,592821685.1,454967627,245343887.9,1460153747,870597625.3,556944187.7,576746586.4,620901502.1,344993021.4,619129723.2,1037261266,428352530.2,431062486.3,153483103.1,835037547.7,1204551795,295508734.8,564338876,1021678481,1246826087,947349654.3,576931183.6,284030216.8,453065402.7,134309307.1,1706323100,220032739.8,422599804.7,595893560.2,350664812.6,1040540222,602072339.1,686516406.4,510364304.1
PPL,488392023.7,2071012363,2520292536,3494021856,243009864.5,289199592.7,514473332,403596766.3,397818621.5,366275224.9,115414253.8,3460877534,94617371.37,109739637.7,93191051.91,298257509.3,1907269136,328223303.7,NA,NA,1419125318,2145863910,1414116137,1718300702,1638090748,1156073578,3257974031,NA,NA,461485240.6,465300465,79299999.53,201108408.8,1482442525,740530313.1,866395777.9,1534446096
HNRNPH1,25203494905,22465247546,26475522029,19973714891,27107376273,30259526076,27409541459,22895651479,27699176386,23112618488,19468191283,26052986378,2139566881,33954942023,22921263197,40694320355,15298879548,29763011766,53441327588,42918266735,30845513860,27145141335,29032874071,32928460876,29410257498,17402147470,27642664732,12098779916,19910177301,19710991602,17771254309,27139272457,17132031377,27765216373,25786856958,24218932550,23508912502
NCAPG,1190111612,616187356.1,363127831.7,2009490740,1230516234,1189335663,704444601.6,700370579.2,849906825.5,717613792.2,584827323.4,841517769.7,NA,3249230340,2769460642,1736220124,700618575.3,960088232.5,1570951700,1958106293,983813660.1,527616103.7,813177708,1425837520,1216839747,851726146.4,3117294810,1060929532,1215423816,982752077.7,1559848322,571571260,682249482.9,1033193358,3643475601,434099311.5,700365329.2
KRT18,21652783972,99598512258,2.28168E+11,2.78173E+11,32548283552,29312015549,86378516479,79948341038,77849932201,74936450340,27293275468,20553073604,3610050612,26265895316,23872721688,28967185664,18702711924,24100109269,23726316380,19729493658,1.10838E+11,27544460980,1.10516E+11,1.11986E+11,1.13053E+11,1.28917E+11,1.46169E+11,14658067196,15358542029,63035046552,64382516616,26715502914,29117652295,37434397942,57391279474,53926312112,1.37101E+11
RPSA,21725558727,27859840396,23929788475,19969168487,24720065715,23085504971,21446243284,12076726791,22796715839,19721445655,27089638831,22647479663,NA,24136577622,20673994498,24189590548,17026862414,22494754745,23568141225,21919310219,25168375991,24106859898,22787072669,23101026826,22384523970,19997954622,25555968688,19192249463,21035362173,25326844519,20208958273,24477489539,23415476712,17252477113,14400370685,26665691537,25588576185
C1QBP,10908287836,12056802814,13961417011,10947850704,9646531363,9206630517,9303235153,8765245910,10765935757,9758668336,12936864140,13173283158,NA,10937187012,9853638009,9031302271,6248672710,8439974536,11438142099,8803075916,9584727962,10634788271,10061247786,10921471470,9543128210,6113479960,8335401491,4042472995,5742475930,7165210217,5690776907,11478974741,10009689349,14894159675,14603325391,17301688629,10550848673
UCHL3,11115507062,9515853486,4834584544,4618311480,10617951864,10880290133,3525708566,11413234133,3369461852,14777584855,2859885752,12054526538,2805495771,16525521308,11702963850,15820836064,3991155983,4073771985,12826847775,11404545684,4181196944,10705468824,4007863751,14740876757,14729003582,8068957341,10294157698,2399005038,2590480530,3451140599,9730508443,11330885102,2372275264,5289512200,11896275060,4817008498,4594804594
