Gene names,Intensity,Intensity S1,Intensity S10,Intensity S11,Intensity S12,Intensity S13,Intensity S14,Intensity S15,Intensity S16,Intensity S17,Intensity S18,Intensity S19,Intensity S2,Intensity S20,Intensity S21,Intensity S22,Intensity S23,Intensity S24,Intensity S25,Intensity S26,Intensity S27,Intensity S28,Intensity S29,Intensity S3,Intensity S30,Intensity S31,Intensity S32,Intensity S33,Intensity S34,Intensity S35,Intensity S36,Intensity S37,Intensity S38,Intensity S4,Intensity S5,Intensity S6,Intensity S7,Intensity S8,Intensity S9
ARMCX2,11481000000,279030000,189650000,206280000,167270000,442840000,370190000,455780000,192940000,401690000,309680000,365250000,249960000,25206000,588420000,459080000,335870000,0,135840000,251420000,248360000,332960000,295400000,340570000,222980000,326300000,222600000,221730000,303590000,387040000,356570000,369070000,365570000,295760000,265520000,387940000,404640000,467560000,240810000
ARMCX6,1503000000,113060000,38823000,0,30007000,62400000,79636000,25084000,70327000,72824000,34038000,31188000,80531000,0,40329000,0,32488000,0,0,32377000,71199000,93502000,36531000,60171000,32680000,0,0,48703000,0,0,0,0,0,34249000,89324000,81391000,31847000,122500000,57749000
RRAGA;RRAGB,22237000000,649290000,825440000,340920000,808090000,401780000,447850000,733390000,492690000,504600000,428120000,618550000,479020000,0,817270000,368640000,490750000,0,598230000,469960000,777950000,1321500000,672810000,745200000,444890000,477410000,766490000,304560000,516660000,873720000,755570000,890040000,689390000,630940000,462960000,472520000,642770000,699850000,616890000
CYFIP1,1.8514E+11,5053700000,6084900000,4521200000,5846300000,6245000000,5486700000,4751500000,4520000000,5503900000,5087200000,3498500000,4906200000,431630000,5602000000,4077900000,6383700000,303320,3401100000,4038300000,4904800000,7378800000,5967300000,5301800000,4843700000,5776100000,4945700000,4342000000,5108300000,4102800000,5205400000,5716800000,4649000000,4864700000,5307000000,5298200000,4641100000,5642300000,5708400000
NDUFAF7,10296000000,327820000,401520000,383700000,295000000,254470000,224650000,411050000,249650000,301760000,165810000,459110000,329300000,0,237870000,263300000,259900000,0,228670000,227050000,238810000,236630000,193990000,193140000,249910000,294680000,292820000,204540000,285270000,188490000,243540000,298260000,308740000,243790000,294710000,345080000,393240000,466080000,303660000
GET4,11107000000,406460000,407030000,283350000,274400000,419120000,243620000,277410000,196400000,149270000,223410000,350730000,441850000,0,315250000,281370000,292120000,0,137020000,151720000,283470000,297110000,236630000,366460000,291820000,332880000,303910000,235880000,359430000,221090000,367750000,282430000,324350000,378280000,234980000,445540000,374970000,476460000,443110000
LPCAT2,3852000000,42257000,78579000,257110000,298510000,85380000,82727000,119630000,79810000,187370000,149620000,122090000,50462000,0,23147000,24862000,67761000,0,528620000,43420000,22914000,0,105150000,178130000,56534000,13072000,0,0,57744000,0,0,86077000,34420000,189670000,557140000,45589000,122640000,70755000,70852000
ENOSF1,1823300000,115780000,89642000,28708000,0,92352000,56364000,0,0,63215000,22499000,59352000,95605000,0,33018000,57505000,0,0,60908000,37636000,46270000,29078000,53379000,82885000,0,20722000,0,26165000,27290000,0,0,81176000,38765000,34358000,74298000,93541000,205360000,131020000,66440000
EPM2AIP1,19651000000,449320000,524930000,287520000,468600000,639140000,660320000,292930000,401170000,1004200000,1014700000,252280000,561120000,81940000,618590000,721070000,680880000,0,241130000,373510000,672960000,780480000,504670000,700790000,329020000,565210000,555400000,501620000,892910000,449100000,508060000,573950000,376160000,354630000,441410000,544890000,377410000,596860000,652060000
DHX32,2860500000,69789000,77267000,78988000,105700000,67579000,51878000,27497000,25671000,62620000,61059000,51873000,70082000,0,57255000,87165000,112210000,0,46003000,74940000,93560000,164000000,118850000,51426000,65786000,150840000,106540000,84229000,145010000,72933000,92587000,88182000,79775000,49532000,68922000,75697000,64214000,80313000,80562000
TAOK1,19644000000,679140000,643730000,360400000,308740000,264360000,609800000,595670000,805640000,653240000,485730000,633790000,553580000,81005000,514590000,474460000,570090000,93683,282550000,481280000,504380000,797930000,632580000,898510000,541710000,507590000,577680000,400270000,431940000,433430000,365400000,478180000,424340000,567330000,476910000,707650000,476390000,941190000,482640000
SH3BP5L,6622800000,158480000,154150000,105800000,99881000,248760000,238880000,102270000,123150000,137630000,112230000,109300000,169720000,24181000,146390000,171860000,236460000,0,52949000,160460000,410010000,340680000,55626000,129550000,64490000,145480000,248910000,219320000,297430000,111860000,196000000,173310000,106990000,69294000,347580000,499510000,112440000,233240000,308550000
FASTKD5,3839300000,98820000,63248000,15902000,113920000,83082000,23234000,139150000,185840000,21863000,41934000,84739000,63374000,0,118030000,151720000,238410000,0,40587000,175010000,122910000,100970000,172690000,55442000,118550000,129970000,162660000,164800000,229350000,87534000,72381000,204150000,87019000,50863000,120400000,28519000,97667000,72495000,102120000
MOB1B;MOB1A,5095400000,120800000,159830000,128760000,101590000,121740000,94959000,142500000,158770000,168640000,134030000,114180000,233520000,0,220770000,179640000,201550000,0,88335000,139960000,161200000,95750000,162030000,133720000,190960000,129240000,86812000,70529000,119020000,146860000,163800000,153920000,156120000,149210000,124670000,173440000,139850000,96598000,132090000
KDM3B,48486000000,1447200000,1101200000,892040000,1296600000,1361800000,1336200000,1021600000,920390000,1243500000,1245500000,1092900000,1427200000,12858000,1392900000,1321500000,2324900000,0,899600000,1360800000,2201800000,2890200000,1323000000,1366800000,1163400000,1882000000,1832200000,1306800000,1532300000,1079300000,1277100000,1205100000,892300000,1355100000,1029100000,1166100000,1000400000,1045400000,1238900000
CHMP1B,29962000000,882150000,1103200000,847800000,875690000,649140000,754470000,1017600000,843890000,1140200000,842020000,952170000,1044500000,689460000,435050000,494070000,291730000,0,42682000,576900000,724560000,812110000,546260000,1091300000,774640000,659880000,909100000,598140000,941330000,798660000,892880000,1024700000,915300000,993610000,726150000,1094000000,908670000,1300700000,767360000
RRM2B,25008000000,917950000,1391300000,767870000,614750000,737560000,627270000,965120000,948700000,1098000000,1058700000,1056500000,836030000,22418000,693110000,638300000,420970000,0,147890000,148200000,124300000,102940000,569240000,1120100000,790300000,465400000,315510000,231340000,313290000,345120000,240390000,690800000,674010000,987980000,695560000,656790000,919840000,1185400000,1489200000
HS2ST1,10828000000,263180000,263120000,351650000,284390000,246290000,409980000,321170000,206690000,218070000,210520000,189880000,351200000,11335000,396590000,235650000,295290000,0,186440000,377310000,445200000,588740000,340570000,322850000,319340000,344820000,236930000,158560000,264430000,260490000,247650000,152560000,145950000,290970000,385000000,535700000,384620000,293710000,291060000
STRADA,544760000,27145000,0,0,34892000,0,0,43424000,23934000,0,0,0,34613000,0,56698000,12189000,51667000,0,0,0,17914000,0,0,35618000,17180000,52667000,22587000,0,25854000,0,0,0,0,22161000,17504000,0,48714000,0,0
MICAL3,5249400000,106170000,128410000,81035000,171740000,133900000,96437000,88686000,108340000,90704000,60762000,204070000,99779000,140870000,162430000,147980000,290180000,0,113620000,185400000,231960000,192870000,203420000,122320000,232250000,184160000,167490000,97473000,167610000,179450000,127360000,146070000,80875000,126540000,88676000,195680000,65941000,107130000,121620000
